roll,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,255,0.0,6.027450980392157,36.576470588235296,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.10980392156862745, '8': 0.7529411764705882, '9': 0.13725490196078433, '10': 0.0, '11': 0.0, '12': 0.0}",1.0274509803921568,179.65098039215687,196,-4.3843137254901965,-4,2.564396795507838,-10,0
3,562,0.0,4.839857651245552,23.73665480427046,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.2491103202846975, '8': 0.6619217081850534, '9': 0.08896797153024912, '10': 0.0, '11': 0.0, '12': 0.0}",0.8398576512455516,179.23131672597864,192,-2.697508896797153,-3.0,2.093439592396967,-8,0
4,879,0.0,3.632536973833902,13.580204778156997,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.034129692832764506, '7': 0.3412969283276451, '8': 0.5824800910125142, '9': 0.04209328782707622, '10': 0.0, '11': 0.0, '12': 0.0}",0.7007963594994312,179.25028441410694,194,-1.4175199089874857,-2,1.355731187952887,-6,0
5,1053,0.0,2.4036087369420702,6.306742640075973,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.12440645773979107, '7': 0.36752136752136755, '8': 0.4881291547958215, '9': 0.019943019943019943, '10': 0.0, '11': 0.0, '12': 0.0}",0.6524216524216524,179.16714150047483,193,-0.44349477682811017,-1,0.8576916247778903,-4,1
6,1434,0.1799163179916318,1.2336122733612274,2.0606694560669454,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.1799163179916318, '7': 0.40655509065550904, '8': 0.41352859135285913, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.5934449093444909,179.34797768479777,198,0.3598326359832636,0.0,0.768503480359678,0,2
7,1563,0.46513115802943056,0.5348688419705694,0.5348688419705694,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.25207933461292387, '7': 0.46513115802943056, '8': 0.2827895073576456, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.5348688419705694,179.0556621880998,194,0.5348688419705694,1,0.4989423180005961,0,1
8,1447,0.20110573600552867,1.1831375259156875,1.9516240497581203,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.38424326192121633, '7': 0.414651002073255, '8': 0.20110573600552867, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.585348997926745,179.4588804422944,196,0.40221147201105734,0,0.8019309870217991,0,2
9,1187,0.0,2.412805391743892,6.340353833192923,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.018534119629317607, '6': 0.4953664700926706, '7': 0.36647009267059816, '8': 0.11962931760741365, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.6520640269587195,179.4212299915754,195,-0.44987363100252736,-1,0.8424686087319179,-4,1
10,793,0.0,3.629255989911728,13.558638083228248,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.03278688524590164, '6': 0.6078184110970997, '7': 0.31525851197982346, '8': 0.044136191677175286, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.7175283732660782,179.48928121059268,194,-1.4123581336696092,-2,1.2723550949872235,-6,0
11,538,0.0,4.836431226765799,23.676579925650557,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.07434944237918216, '6': 0.6877323420074349, '7': 0.2379182156133829, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.8364312267657993,179.4200743494424,192,-2.657992565055762,-3.0,1.9723746815674703,-8,0
12,289,0.0,5.975778546712803,35.93425605536332,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.10034602076124567, '6': 0.7750865051903114, '7': 0.1245674740484429, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.9757785467128027,179.23875432525952,191,-4.103806228373703,-4,2.369427536602686,-10,0
