roll,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,288,0.0,2.59375,8.447916666666666,"{'2': 0.0, '3': 0.20833333333333334, '4': 0.3645833333333333, '5': 0.20833333333333334, '6': 0.0625, '7': 0.15625, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.40625,330.68402777777777,721,0.2916666666666667,0.0,2.0848716736217563,-2,4
3,556,0.14388489208633093,1.933453237410072,5.494604316546763,"{'2': 0.0, '3': 0.14388489208633093, '4': 0.2715827338129496, '5': 0.2841726618705036, '6': 0.12589928057553956, '7': 0.1564748201438849, '8': 0.017985611510791366, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.102517985611511,332.6438848920863,1119,1.7859712230215827,0.0,2.960865035378842,-3,8
4,825,0.23393939393939395,1.5151515151515151,3.9127272727272726,"{'2': 0.0, '3': 0.08606060606060606, '4': 0.23393939393939395, '5': 0.2727272727272727, '6': 0.15878787878787878, '7': 0.1696969696969697, '8': 0.06424242424242424, '9': 0.014545454545454545, '10': 0.0, '11': 0.0, '12': 0.0}",1.8436363636363637,330.34181818181816,1129,2.0775757575757576,2,2.7134676591541806,-6,6
5,1088,0.30514705882352944,1.2279411764705883,2.672794117647059,"{'2': 0.0, '3': 0.04779411764705882, '4': 0.171875, '5': 0.30514705882352944, '6': 0.14246323529411764, '7': 0.21691176470588236, '8': 0.07904411764705882, '9': 0.03676470588235294, '10': 0.0, '11': 0.0, '12': 0.0}",1.6121323529411764,326.04319852941177,707,1.6525735294117647,1.0,2.124174777613368,-4,4
6,1410,0.19645390070921986,1.2411347517730495,2.3858156028368795,"{'2': 0.0, '3': 0.02695035460992908, '4': 0.11702127659574468, '5': 0.274468085106383, '6': 0.19645390070921986, '7': 0.22056737588652484, '8': 0.06808510638297872, '9': 0.09078014184397164, '10': 0.005673758865248227, '11': 0.0, '12': 0.0}",1.4709219858156029,323.7113475177305,771,0.6184397163120567,0.0,1.581637122794442,-6,2
7,1679,0.2465753424657534,1.3150684931506849,2.715902322811197,"{'2': 0.0, '3': 0.007742703990470518, '4': 0.07206670637284097, '5': 0.19654556283502084, '6': 0.2328767123287671, '7': 0.2465753424657534, '8': 0.08993448481238833, '9': 0.11078022632519356, '10': 0.043478260869565216, '11': 0.0, '12': 0.0}",1.3150684931506849,322.3013698630137,1137,-0.08576533650982728,0,1.3608807075144291,-8,1
8,1387,0.12761355443403027,1.5832732516222061,3.571737563085797,"{'2': 0.0, '3': 0.0, '4': 0.033886085075702954, '5': 0.16870944484498918, '6': 0.1773612112472963, '7': 0.26676279740447006, '8': 0.12761355443403027, '9': 0.14419610670511895, '10': 0.0684931506849315, '11': 0.012977649603460706, '12': 0.0}",1.2898341744772892,323.2134102379236,1145,-0.049026676279740444,0,1.7859210068539442,-6,2
9,1116,0.2078853046594982,1.7956989247311828,4.878136200716846,"{'2': 0.0, '3': 0.0, '4': 0.005376344086021506, '5': 0.11469534050179211, '6': 0.16129032258064516, '7': 0.28225806451612906, '8': 0.10483870967741936, '9': 0.2078853046594982, '10': 0.09050179211469533, '11': 0.033154121863799284, '12': 0.0}",1.331541218637993,325.089605734767,935,0.5394265232974911,0.0,2.5282733491908305,-9,4
10,839,0.13230035756853398,2.1775923718712753,6.833134684147795,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.05363528009535161, '6': 0.13230035756853398, '7': 0.29916567342073896, '8': 0.10011918951132301, '9': 0.21930870083432658, '10': 0.13230035756853398, '11': 0.0631704410011919, '12': 0.0}",1.4278903456495828,330.4433849821216,1112,0.8986889153754469,0,2.883246926206359,-6,6
11,533,0.11444652908067542,2.6660412757973733,9.720450281425892,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.013133208255159476, '6': 0.10131332082551595, '7': 0.29831144465290804, '8': 0.1125703564727955, '9': 0.1894934333958724, '10': 0.17073170731707318, '11': 0.11444652908067542, '12': 0.0}",1.5891181988742964,333.9793621013133,1114,0.9061913696060038,0,3.1501609842144145,-8,8
12,279,0.0,3.369175627240143,14.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.06093189964157706, '7': 0.3333333333333333, '8': 0.05017921146953405, '9': 0.1863799283154122, '10': 0.2078853046594982, '11': 0.16129032258064516, '12': 0.0}",1.7526881720430108,342.584229390681,1083,-0.07168458781362007,0,2.124341885601252,-4,4
